//	Variables Used
//
//////////////////////////
//
//	vDamage - All Types of Damage
//	vDelay - Reload Time
//	vDeviation
//	vPowCost - Power Costs
//	vRange - Weapons Range ONLY! Not used for AoE Effect Range
//	vEffectiveRange - Effective Range
//	vMinDmg - Lowest Damage
//	vWasteHeat - Heat Needed
//	vAoE_Range - Range AoE Weapons Effect
//	vRequiredCharge - Charge needed for Charge to Fire
//	vSpeed - Weapon Speed
// 	vMinHit - Minimum Hit Chance
// 	vAccuracy - Hit Chance
//
//////////////////////////



System: CoolantSys
	Name: #SS_COOLANT_NAME
	Description: #SS_COOLANT_DESC
	Appearance: CoolantSystem
	Explosion: subsystem_destroyed

	Tags: Link
	Tied To: WeapMod_Root 0

	Available: Techs.WeapMod_Root.Level  > 0
	Level: Techs.WeapMod_Root.Level 
	ModifierLevel: Techs.WeapMod_Root.Level
	ControlLevel: Techs.WeapMod_Control.Level As Level
	EfficiencyLevel: Techs.WeapMod_Efficiency.Level As Level
	DiscountLevel: Techs.WeapMod_Cost.Level As Level
	HPLevel: Techs.Materials_Root.Level As Level
	MassLevel: Techs.Materials_Lightweight.Level As Level

	Size: Scale
	Durability: 50 * Size * (1 + (HPLevel * GA_TECH_INCREASE)) * GAME_SUBSYS_MULT
	Mass: (50 * Size) / (1 + (0.1 * MassLevel))
	
	vMetal: (180 * Size) / (1 + (0.1 * DiscountLevel))
	vElec: (300 * Size) / (1 + (0.1 * DiscountLevel))
	vParts: (45 * Size) / (1 + (0.1 * DiscountLevel))
	vLabor: (12 * Size) / (1 + (0.1 * DiscountLevel))
	Costs: Metals[vMetal], Electronics[vElec], AdvParts[vParts], Labr[vLabor]
	Complexity: 1

	vDelayFactor: 1 / (1 + ((0.25 * (1 + (0.1 * ModifierLevel))) * Scale/Object.Scale))
	vPenalty: ((1/vDelayFactor)^1.4) / (1 + (0.1 * EfficiencyLevel))

	vPenalty_ammo: vPenalty * vDelayFactor
	vHeatFactor: 1 / (sqrt(1 + (Scale/Object.Scale)))
	
	vControl: (Size * 15 * (Scale / Object.Scale)) / (1 + (0.1 * ControlLevel))
	vPower: (Size * 15 * (Scale / Object.Scale)) / (1 + (0.1 * EfficiencyLevel))

	Alters: GASubSysAlterations::coolantSystem[vDelayFactor][vPenalty][vPenalty_ammo][vHeatFactor]						//was subSysAlterations::alterFiringDelay

	Consumes:
		To Run:
			Power[vPower]

	Requires:
		To Run: Control[vControl]

	Hints: Local/FireSpeedUp[1 / vDelayFactor], Local/CostPenalty[vPenalty], Local/HeatFactor[vHeatFactor]


System: AimBot
	Name: #SS_AIMBOT_NAME
	Description: #SS_AIMBOT_DESC
	Appearance: TargetingArray
	Explosion: subsystem_destroyed

	Tags: Link
	Tied To: WeapMod_Root 0

	Available: Techs.WeapMod_Root.Level  > 0
	Level: Techs.WeapMod_Root.Level 
	ModifierLevel: Techs.WeapMod_Root.Level
	ControlLevel: Techs.WeapMod_Control.Level As Level
	EfficiencyLevel: Techs.WeapMod_Efficiency.Level As Level
	DiscountLevel: Techs.WeapMod_Cost.Level As Level
	HPLevel: Techs.Materials_Root.Level As Level
	MassLevel: Techs.Materials_Lightweight.Level As Level

	Size: Scale
	Durability: 50 * Size * (1 + (HPLevel * GA_TECH_INCREASE)) * GAME_SUBSYS_MULT
	Mass: (50 * Size) / (1 + (0.1 * MassLevel))
	
	vMetal: (180 * Size) / (1 + (0.1 * DiscountLevel))
	vElec: (300 * Size) / (1 + (0.1 * DiscountLevel))
	vParts: (45 * Size) / (1 + (0.1 * DiscountLevel))
	vLabor: (12 * Size) / (1 + (0.1 * DiscountLevel))
	
	Costs: Metals[vMetal], Electronics[vElec], AdvParts[vParts], Labr[vLabor]
	
	Complexity: 1
	
	vControl: (Size * 30 * (Scale / Object.Scale)) / (1 + (0.1 * ControlLevel))
	vPower: (Size * 20 * (Scale / Object.Scale)) / (1 + (0.1 * EfficiencyLevel))
	vRangeUp: 1 + ((Scale/Object.Scale) / 3) * (1.5 + (0.1 * ModifierLevel))

	Alters: GASubSysAlterations::improveAllRange[Scale][vRangeUp]

	Consumes:
		To Run:
			Power[vPower]
	
	Requires:
		To Run: Control[vControl]

	Hints: Local/RangeUp[vRangeUp]
	
System: PrecisionMod
	Name: #SS_PMOD_NAME
	Description: #SS_PMOD_DESC
	Appearance: PMod
	Explosion: subsystem_destroyed

	Tags: Link
	Tied To: WeapMod_Root 0

	Available: Techs.WeapMod_Root.Level  > 0
	Level: Techs.WeapMod_Root.Level 
	ModifierLevel: Techs.WeapMod_Root.Level
	ControlLevel: Techs.WeapMod_Control.Level As Level
	EfficiencyLevel: Techs.WeapMod_Efficiency.Level As Level
	DiscountLevel: Techs.WeapMod_Cost.Level As Level
	HPLevel: Techs.Materials_Root.Level As Level
	MassLevel: Techs.Materials_Lightweight.Level As Level

	Size: Scale
	Durability: 50 * Size * (1 + (HPLevel * GA_TECH_INCREASE)) * GAME_SUBSYS_MULT
	Mass: (50 * Size) / (1 + (0.1 * MassLevel))
	
	vMetal: (90 * Size) / (1 + (0.1 * DiscountLevel))
	vElec: (300 * Size) / (1 + (0.1 * DiscountLevel))
	vParts: (180 * Size) / (1 + (0.1 * DiscountLevel))
	vLabor: (12 * Size) / (1 + (0.1 * DiscountLevel))
	Costs: Metals[vMetal], Electronics[vElec], AdvParts[vParts], Labr[vLabor]
	Complexity: 1

	vDamageUp: 1.0 / (1 + (0.25 * (Scale/Object.Scale)))
	vDelayFactor: 1
	vRangeUp: 1 + (Scale/Object.Scale) * (2.0 + (0.1 * ModifierLevel))
	vBonusHP: 1
	vAmmoUseUp: (1 + (0.36 * (Scale/Object.Scale))) / (1 + (0.1 * EfficiencyLevel))
	vPowCostUp: (1 + (0.36 * (Scale/Object.Scale))) / (1 + (0.1 * EfficiencyLevel))
	vWasteHeatUp: (1 + (0.36 * (Scale/Object.Scale))) / (1 + (0.1 * EfficiencyLevel))
	
	vControl: (Size * 45 * (Scale / Object.Scale)) / (1 + (0.1 * ControlLevel))
	vPower: (Size * 45 * (Scale / Object.Scale)) / (1 + (0.1 * EfficiencyLevel))
	
	Alters: GASubSysAlterations::improveAll[Scale][vRangeUp][vDelayFactor][vBonusHP][vDamageUp][vAmmoUseUp][vPowCostUp][vWasteHeatUp]

	Consumes:
		To Run:
			Power[vPower]
	
	Requires:
		To Run: Control[vControl]
	
	Hints: Local/RangeUp[vRangeUp], Local/DamageMultiplier[vDamageUp], Local/AmmoUseMultiplier[vAmmoUseUp], Local/PowCostMultiplier[vPowCostUp], Local/HeatFactor[vWasteHeatUp]

System: MultiRack
	Name: #SS_MULTIRACK_NAME
	Description: #SS_MULTIRACK_DESC
	Appearance: RackMount
	Explosion: subsystem_destroyed

	Tags: Link
	Tied To: WeapMod_Root 0

	Available: Techs.WeapMod_Root.Level  > 0
	Level: Techs.WeapMod_Root.Level 
	ModifierLevel: Techs.WeapMod_Root.Level
	ControlLevel: Techs.WeapMod_Control.Level As Level
	EfficiencyLevel: Techs.WeapMod_Efficiency.Level As Level
	DiscountLevel: Techs.WeapMod_Cost.Level As Level
	HPLevel: Techs.Materials_Root.Level As Level
	MassLevel: Techs.Materials_Lightweight.Level As Level

	Size: Scale
